,ADM2_PCODE,NDVI_avg
0,CN053160,0.6006
1,CN053020,0.6633
2,CN053060,0.6767
3,CN054050,0.3202
4,CN053130,0.6666
5,CN053120,0.5765
6,CN053070,0.5919
7,CN053150,0.6865
8,CN053110,0.7845
9,CN033100,0.6424
10,CN053040,0.6555
11,CN053010,0.719
12,CN053050,0.782
13,CN053080,0.6365
14,CN053100,0.6825
15,CN053030,0.5877
16,CN053090,0.7525
17,CN033010,0.6175
18,CN033060,0.5708
19,CN054040,0.0848
20,CN053140,0.8187
21,CN054030,0.1069
22,CN051210,0.5416
23,CN054020,0.1729
24,CN051150,0.4069
25,CN051180,0.6515
26,CN051030,0.6004
27,CN051060,0.5587
28,CN051190,0.5965
29,CN051130,0.5413
30,CN051080,0.6477
31,CN051140,0.5422
32,CN051170,0.5266
33,CN051050,0.3587
34,CN051070,0.587
35,CN051040,0.5324
36,CN051100,0.603
37,CN051160,0.6564
38,CN051200,0.5278
39,CN051020,0.5561
40,CN014110,0.3748
41,CN014060,0.3434
42,CN014050,0.2797
43,CN014090,0.2361
44,CN051120,0.5789
45,CN051090,0.6169
46,CN051010,0.6169
47,CN051110,0.5942
48,CN054060,0.2463
49,CN054010,0.1826
50,CN065130,0.1602
51,CN065030,0.0935
52,CN065140,0.1269
53,CN065090,0.1715
55,CN065080,0.0658
56,CN065110,0.0949
57,CN065120,0.0849
58,CN065020,0.0962
59,CN065040,0.0678
60,CN065050,0.1381
61,CN065060,0.1252
62,CN065070,0.0701
63,CN065150,0.0723
64,CN065100,0.1105
65,CN065010,0.1254
67,CN012010,0.2027
68,CN033030,0.4243
69,CN054070,0.1181
70,CN033020,0.5202
71,CN044010,0.6663
72,CN033040,0.5827
75,CN035010,0.6687
76,CN035080,0.5905
77,CN035050,0.6606
78,CN035070,0.71
79,CN050010,0.5981
80,CN035060,0.6415
81,CN035030,0.7088
82,CN035020,0.7236
83,CN035040,0.7035
84,CN062070,0.1789
85,CN062040,0.078
86,CN062050,0.1318
87,CN035090,0.6827
89,CN011010,0.2956
90,CN034040,0.5915
92,CN034150,0.4377
93,CN034020,0.3309
94,CN034090,0.3135
95,CN034120,0.3478
96,CN034080,0.3956
97,CN034140,0.4298
98,CN034010,0.5072
99,CN034100,0.6717
100,CN034050,0.3453
101,CN034060,0.3702
102,CN034130,0.3959
103,CN034110,0.4345
104,CN034160,0.5738
105,CN034070,0.4087
106,CN062010,0.1566
107,CN062120,0.4021
108,CN062060,0.0686
109,CN062140,0.1408
110,CN044130,0.636
111,CN044050,0.7012
112,CN044160,0.6887
113,CN044110,0.6814
114,CN044020,0.4526
115,CN044200,0.448
116,CN014070,0.1926
117,CN044080,0.6405
118,CN044170,0.6914
119,CN045110,0.6572
121,CN033050,0.7014
122,CN033090,0.6176
123,CN033110,0.4956
124,CN033070,0.6228
125,CN044100,0.6852
126,CN033080,0.5757
127,CN044060,0.6757
128,CN044090,0.6723
129,CN062130,0.143
130,CN062020,0.2663
131,CN062090,0.4795
132,CN062100,0.3662
133,CN062110,0.2982
134,CN062080,0.2673
135,CN062030,0.3537
136,CN044040,0.5979
137,CN044140,0.6909
138,CN044150,0.5134
139,CN044210,0.51
140,CN044120,0.5327
141,CN044030,0.4587
142,CN044070,0.6257
143,CN044180,0.6174
144,CN044190,0.7063
145,CN014030,0.3656
146,CN014040,0.2967
147,CN014100,0.2674
148,CN042130,0.4756
149,CN042170,0.5919
150,CN042090,0.5635
151,CN042040,0.4794
152,CN042120,0.3817
153,CN041180,0.393
154,CN041170,0.4004
155,CN041140,0.4058
156,CN041120,0.4185
157,CN042020,0.361
158,CN041080,0.4114
159,CN041060,0.4126
160,CN041150,0.3826
161,CN041100,0.3465
162,CN041030,0.3629
163,CN041130,0.3737
164,CN041020,0.3578
165,CN041010,0.3527
166,CN041090,0.3932
167,CN041070,0.3884
168,CN041110,0.4037
169,CN042050,0.476
170,CN042160,0.4087
171,CN042060,0.4092
172,CN032100,0.3769
173,CN032090,0.3742
174,CN032040,0.3735
175,CN043090,0.6432
176,CN043060,0.5607
177,CN043050,0.6504
178,CN043110,0.6158
179,CN043030,0.6175
180,CN043100,0.5533
181,CN043130,0.6338
182,CN043010,0.5506
183,CN043120,0.5249
184,CN043070,0.6006
185,CN043040,0.5236
186,CN043080,0.5219
187,CN014010,0.3181
188,CN043020,0.5521
189,CN042100,0.4653
190,CN042010,0.643
191,CN042140,0.5581
192,CN042030,0.482
193,CN041050,0.3448
194,CN032010,0.3732
195,CN041160,0.3304
196,CN023050,0.2539
197,CN052050,0.6704
198,CN052010,0.5798
199,CN052020,0.5627
200,CN052070,0.6218
201,CN052080,0.6118
202,CN052090,0.6385
203,CN052040,0.5843
204,CN052030,0.5774
205,CN045070,0.7053
206,CN052060,0.6374
207,CN045010,0.7193
208,CN045100,0.6741
209,CN045030,0.6808
210,CN045140,0.6799
211,CN045050,0.6382
212,CN045120,0.6789
213,CN045040,0.7385
214,CN045020,0.596
215,CN045130,0.7168
216,CN045060,0.6682
217,CN045080,0.6805
218,CN046050,0.7388
219,CN046080,0.5759
220,CN046150,0.7342
221,CN023080,0.3489
222,CN023100,0.2536
223,CN023060,0.2158
224,CN023130,0.413
225,CN023010,0.1936
226,CN023110,0.25
227,CN023040,0.2712
228,CN023070,0.2534
229,CN023090,0.2
230,CN023030,0.2651
231,CN013050,0.3128
