,SDG911_pct,ADM1_PROVINCE;ADM2_PREFECTURE
0,84.74972806399998,Anhui;Anqing
1,94.908603835,Anhui;Bengbu
2,95.7355847067,Anhui;Bozhou
3,95.0281695487,Anhui;Chaohu
4,80.7187675121,Anhui;Chizhou
5,91.5957052202,Anhui;Chuzhou
6,97.2989258944,Anhui;Fuyang
7,96.5423036425,Anhui;Hefei
8,96.3544735844,Anhui;Huaibei
9,98.0310950195,Anhui;Huainan
10,94.7573130279,Anhui;Huangshan
11,89.3769474704,Anhui;Lu'an
12,95.6897293273,Anhui;Ma'anshan
13,86.79472858929998,Anhui;Suzhou
14,98.485315057,Anhui;Tongling
15,97.8056577435,Anhui;Wuhu
16,90.0105569448,Anhui;Xuancheng
17,97.6630998048,Beijing;Beijing
18,89.987871864,Chongqing;Chongqing
19,93.7902309636,Fujian;Fuzhou
20,85.3478473695,Fujian;Longyan
21,82.42742534999998,Fujian;Nanping
22,93.144538716,Fujian;Ningde
23,87.57882630359998,Fujian;Putian
24,86.3412402914,Fujian;Quanzhou
25,82.14022273969998,Fujian;Sanming
26,97.7625007262,Fujian;Xiamen
27,88.8492933686,Fujian;Zhangzhou
28,84.34706126519998,Gansu;Baiyin
29,89.31298578889998,Gansu;Dingxi
30,74.6507389587,Gansu;GannanTibetan
31,96.0700467496,Gansu;Jiayuguan
32,73.6757445067,Gansu;Jinchang
33,73.1939037588,Gansu;Jiuquan
34,88.7517884579,Gansu;Lanzhou
35,95.1433011425,Gansu;LinxiaHui
36,85.06696046039998,Gansu;Longnan
37,90.8666365433,Gansu;Pingliang
38,83.794781193,Gansu;Qingyang
39,95.0374524272,Gansu;Tianshui
40,76.8088695567,Gansu;Wuwei
41,76.09444656639998,Gansu;Zhangye
42,95.3889559971,Guangdong;Chaozhou
43,99.1930664283,Guangdong;Dongguan
44,99.174051633,Guangdong;Foshan
45,99.4521175152,Guangdong;Guangzhou
46,83.07790473209998,Guangdong;Heyuan
47,95.2612271035,Guangdong;Huizhou
