date,adm2_id,ADM2_PCODE,n_pixels,vim,vim_avg,viq
#date,#adm2+id,#adm2+code,#indicator+n_pixels+num,#indicator+vim+num,#indicator+vim_avg+num,#indicator+viq+pct
2019-01-01,13306,CN053160,806.0,0.5227,0.4609,112.0989
2019-01-11,13306,CN053160,806.0,0.5043,0.4397,113.2049
2019-01-21,13306,CN053160,806.0,0.4905,0.4244,113.9422
2019-02-01,13306,CN053160,806.0,0.4801,0.4128,114.5596
2019-02-11,13306,CN053160,806.0,0.475,0.4064,115.031
2019-02-21,13306,CN053160,806.0,0.4752,0.4054,115.3202
2019-03-01,13306,CN053160,806.0,0.4806,0.4101,115.3174
2019-03-11,13306,CN053160,806.0,0.4935,0.4224,115.0484
2019-03-21,13306,CN053160,806.0,0.5153,0.4439,114.4559
2019-04-01,13306,CN053160,806.0,0.5448,0.4735,113.6074
2019-04-11,13306,CN053160,806.0,0.5781,0.5083,112.4988
2019-04-21,13306,CN053160,806.0,0.6132,0.5477,110.9634
2019-05-01,13306,CN053160,806.0,0.6467,0.5893,108.9836
2019-05-11,13306,CN053160,806.0,0.6766,0.6309,106.7175
2019-05-21,13306,CN053160,806.0,0.7035,0.6724,104.3008
2019-06-01,13306,CN053160,806.0,0.7271,0.7101,102.246
2019-06-11,13306,CN053160,806.0,0.7474,0.7405,100.8642
2019-06-21,13306,CN053160,806.0,0.7653,0.7645,100.0955
2019-07-01,13306,CN053160,806.0,0.7809,0.7827,99.7806
2019-07-11,13306,CN053160,806.0,0.7935,0.7914,100.2524
2019-07-21,13306,CN053160,806.0,0.8028,0.7955,100.8623
2019-08-01,13306,CN053160,806.0,0.8075,0.7943,101.5602
2019-08-11,13306,CN053160,806.0,0.8075,0.7889,102.221
2019-08-21,13306,CN053160,806.0,0.8034,0.7794,102.8912
2019-09-01,13306,CN053160,806.0,0.7964,0.7669,103.6201
2019-09-11,13306,CN053160,806.0,0.7878,0.752,104.4617
2019-09-21,13306,CN053160,806.0,0.7772,0.7344,105.4543
2019-10-01,13306,CN053160,806.0,0.7639,0.7138,106.5584
2019-10-11,13306,CN053160,806.0,0.747,0.69,107.7085
2019-10-21,13306,CN053160,806.0,0.7244,0.6617,108.8061
2019-11-01,13306,CN053160,806.0,0.6969,0.631,109.6667
2019-11-11,13306,CN053160,806.0,0.6686,0.6006,110.4469
2019-11-21,13306,CN053160,806.0,0.6406,0.5703,111.3285
2019-12-01,13306,CN053160,806.0,0.6144,0.5411,112.4012
2019-12-11,13306,CN053160,806.0,0.5907,0.5135,113.6953
2019-12-21,13306,CN053160,806.0,0.5691,0.4873,115.2248
2020-01-01,13306,CN053160,806.0,0.5476,0.4609,116.9692
2020-01-11,13306,CN053160,806.0,0.5297,0.4397,118.391
2020-01-21,13306,CN053160,806.0,0.5164,0.4244,119.3963
2020-02-01,13306,CN053160,806.0,0.5057,0.4128,120.0896
2020-02-11,13306,CN053160,806.0,0.499,0.4064,120.294
